"#Time along first column, position along first row. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time (day)\Position (micrometers),0,30,60,90,120,150,180,210,240,270,300,330,360,390,420,450,480,510,540,570,600,630,660,690,720,750,780,810,840,870,900,930,960,990,1020,1050,1080,1110,1140,1170,1200
20,0.597526995,0.595882377,0.592481654,0.58666427,0.577041712,0.561531388,0.5375153,0.502229763,0.453547921,0.391322364,0.318784977,0.24288614,0.172394355,0.114365881,0.071607843,0.04287293,0.02487694,0.014141334,0.007915967,0.004357645,0.002350377,0.001245697,0.0006568,0.000342457,0.000162796,6.56E-05,2.19E-05,6.11E-06,1.44E-06,2.95E-07,5.26E-08,8.35E-09,1.19E-09,1.54E-10,1.81E-11,1.97E-12,1.98E-13,1.86E-14,1.63E-15,1.34E-16,1.12E-17
21,0.597417474,0.595766023,0.592325002,0.586425632,0.576690307,0.561063188,0.536973922,0.50172638,0.453266261,0.391468385,0.319482309,0.244072202,0.173821525,0.115734937,0.072716237,0.043664085,0.025391221,0.014454047,0.008098734,0.004463182,0.002411482,0.001280516,0.000675362,0.000351638,0.000168352,6.92E-05,2.38E-05,6.88E-06,1.69E-06,3.59E-07,6.71E-08,1.11E-08,1.66E-09,2.24E-10,2.78E-11,3.16E-12,3.34E-13,3.28E-14,3.01E-15,2.60E-16,2.28E-17
22,0.597307444,0.595647517,0.592165773,0.586185365,0.576339354,0.560598674,0.536439849,0.501232354,0.452990797,0.391610862,0.320163435,0.245234464,0.175227603,0.117092831,0.073823529,0.044459657,0.025911367,0.014771887,0.008285154,0.004570965,0.002473828,0.001316019,0.000694388,0.000361197,0.000174024,7.28E-05,2.57E-05,7.68E-06,1.96E-06,4.33E-07,8.42E-08,1.46E-08,2.27E-09,3.21E-10,4.15E-11,4.94E-12,5.45E-13,5.60E-14,5.39E-15,4.87E-16,4.49E-17
23,0.597196803,0.595526937,0.592004057,0.585943542,0.575988917,0.560137842,0.535912944,0.500747377,0.45272129,0.391749947,0.32082899,0.246373681,0.176612956,0.118439453,0.074929374,0.045259376,0.026437244,0.015094813,0.008475236,0.004681022,0.002537443,0.00135223,0.000713888,0.000371124,0.000179821,7.64E-05,2.77E-05,8.52E-06,2.25E-06,5.17E-07,1.04E-07,1.88E-08,3.05E-09,4.49E-10,6.06E-11,7.53E-12,8.68E-13,9.31E-14,9.35E-15,8.83E-16,8.52E-17
24,0.59708546,0.59540435,0.591839945,0.585700239,0.575639055,0.559680684,0.535393069,0.500271156,0.452457515,0.39188578,0.321479579,0.247490577,0.177977956,0.119774713,0.076033447,0.046062976,0.026968715,0.01542278,0.008668985,0.00479338,0.002602358,0.00138917,0.000733869,0.000381411,0.000185754,8.01E-05,2.97E-05,9.40E-06,2.56E-06,6.10E-07,1.28E-07,2.39E-08,4.04E-09,6.19E-10,8.69E-11,1.12E-11,1.35E-12,1.51E-13,1.58E-14,1.55E-15,1.57E-16
25,0.596973332,0.595279814,0.591673522,0.585455527,0.575289822,0.559227186,0.534880086,0.499803413,0.452199257,0.392018496,0.322115769,0.248585845,0.179322972,0.121098538,0.077135442,0.046870196,0.02750564,0.015755743,0.008866405,0.004908064,0.002668602,0.00142686,0.000754341,0.000392051,0.00019183,8.38E-05,3.17E-05,1.03E-05,2.90E-06,7.13E-07,1.55E-07,3.01E-08,5.26E-09,8.38E-10,1.22E-10,1.64E-11,2.05E-12,2.39E-13,2.60E-14,2.66E-15,2.80E-16
26,0.596860347,0.59515338,0.591504872,0.58520948,0.574941273,0.558777336,0.534373859,0.499343883,0.451946315,0.392148219,0.3227381,0.249660154,0.180648373,0.122410872,0.078235068,0.047680777,0.028047876,0.016093651,0.0090675,0.005025099,0.002736203,0.001465322,0.000775311,0.000403042,0.000198055,8.75E-05,3.38E-05,1.13E-05,3.26E-06,8.27E-07,1.86E-07,3.73E-08,6.77E-09,1.12E-09,1.69E-10,2.36E-11,3.06E-12,3.69E-13,4.17E-14,4.44E-15,4.87E-16
27,0.596746441,0.595025096,0.591334076,0.58496217,0.574593457,0.558331113,0.533874253,0.498892312,0.451698498,0.392275068,0.323347083,0.250714141,0.181954524,0.123711675,0.079332054,0.048494466,0.02859528,0.016436452,0.00927227,0.005144509,0.002805189,0.001504577,0.000796789,0.00041438,0.000204437,9.14E-05,3.59E-05,1.22E-05,3.64E-06,9.52E-07,2.21E-07,4.58E-08,8.60E-09,1.47E-09,2.30E-10,3.33E-11,4.47E-12,5.60E-13,6.57E-14,7.25E-15,8.27E-16
28,0.596631553,0.594895001,0.591161212,0.584713667,0.574246419,0.5578885,0.533381135,0.498448459,0.451455622,0.392399154,0.323943202,0.251748421,0.183241789,0.125000921,0.080426144,0.049311014,0.029147705,0.016784091,0.009480713,0.005266316,0.002875587,0.001544646,0.000818781,0.000426063,0.000210981,9.52E-05,3.80E-05,1.33E-05,4.05E-06,1.09E-06,2.60E-07,5.57E-08,1.08E-08,1.91E-09,3.09E-10,4.63E-11,6.43E-12,8.34E-13,1.01E-13,1.16E-14,1.37E-15
29,0.596515634,0.594763133,0.590986353,0.584464041,0.573900203,0.557449472,0.532894372,0.498012094,0.451217516,0.392520583,0.324526917,0.252763584,0.184510529,0.126278598,0.081517096,0.050130178,0.029705006,0.017136511,0.009692826,0.00539054,0.002947423,0.001585548,0.000841298,0.000438092,0.000217692,9.92E-05,4.02E-05,1.43E-05,4.48E-06,1.24E-06,3.04E-07,6.71E-08,1.34E-08,2.45E-09,4.10E-10,6.34E-11,9.10E-12,1.22E-12,1.53E-13,1.81E-14,2.23E-15
