"#Time along first column, position along first row. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time (day)/Position,0,30,60,90,120,150,180,210,240,270,300,330,360,390,420,450,480,510,540,570,600,630,660,690,720,750,780,810,840,870,900,930,960
0.375,0.981903795,0.97487049,0.96102919,0.94190207,0.922383385,0.90641463,0.894183815,0.883709725,0.87734997,0.869685275,0.863882265,0.858097325,0.847856125,0.835300305,0.821358305,0.803354825,0.758614675,0.61849011,0.290560945,0.05116762,0.00281689,5.00E-05,0,0,0,0,0,0,0,0,0,0,0
0.3875,0.981899875,0.974899435,0.961065065,0.941925935,0.9224241,0.906515415,0.89428886,0.88390328,0.877381585,0.869804315,0.863940135,0.858237955,0.848052065,0.835453515,0.821655545,0.803644285,0.759858435,0.6220956,0.295936545,0.053148895,0.00296266,5.00E-05,0,0,0,0,0,0,0,0,0,0,0
0.4,0.981893395,0.974897355,0.961114685,0.9419944,0.92249679,0.90656821,0.894445055,0.884024125,0.877493265,0.869933415,0.864019605,0.85839238,0.848182625,0.83564907,0.82186282,0.80408341,0.760941495,0.625625705,0.301273965,0.05491723,0.00322591,5.00E-05,0,0,0,0,0,0,0,0,0,0,0
0.4125,0.98189007,0.974910765,0.961141485,0.94208336,0.92256945,0.90671048,0.8945253,0.884143265,0.877573295,0.870180005,0.86407367,0.858550035,0.848433885,0.835772595,0.82208106,0.804394145,0.76217144,0.6287638,0.307070955,0.056815165,0.003325275,5.00E-05,0,0,0,0,0,0,0,0,0,0,0
0.425,0.98188488,0.97490878,0.961167405,0.94215956,0.922610405,0.906883785,0.894521845,0.8843889,0.877629305,0.87023894,0.864302285,0.858677435,0.84863181,0.835998285,0.822345765,0.8046607,0.763438745,0.632041925,0.312883015,0.05862358,0.003457165,5.00E-05,0,0,0,0,0,0,0,0,0,0,0
0.4375,0.98188981,0.97491604,0.961224575,0.942217245,0.922677295,0.90700356,0.894617065,0.88444756,0.877825055,0.870413705,0.86435824,0.85879908,0.848853345,0.836158315,0.822596785,0.80493424,0.764504755,0.63545007,0.3180784,0.06064171,0.003554915,5.00E-05,0,0,0,0,0,0,0,0,0,0,0
0.45,0.981908375,0.974879025,0.961260965,0.942278345,0.92278514,0.9071874,0.8946409,0.88458759,0.877937395,0.870578145,0.864459035,0.85893899,0.84894269,0.836247405,0.82284057,0.80527799,0.76566055,0.638615815,0.323501375,0.062861045,0.0037547,5.01E-05,0,0,0,0,0,0,0,0,0,0,0
0.4625,0.981901735,0.97489257,0.961323425,0.942294675,0.922902705,0.90727995,0.894763465,0.88469888,0.878066605,0.87068765,0.864580695,0.859022545,0.849091715,0.83637844,0.82308804,0.805638855,0.766884765,0.64180795,0.328741835,0.06498179,0.004051535,6.67E-05,0,0,0,0,0,0,0,0,0,0,0
0.475,0.98188577,0.974906805,0.961356325,0.942294165,0.923049475,0.907252845,0.894880495,0.88480338,0.87816038,0.870862545,0.864721855,0.85911622,0.849322685,0.836464045,0.82333981,0.806026315,0.767934425,0.64494885,0.334764975,0.067105365,0.00418709,8.34E-05,0,0,0,0,0,0,0,0,0,0,0
0.4875,0.98188394,0.97495063,0.96133667,0.942364135,0.923156725,0.907289735,0.895024375,0.884881745,0.878333555,0.87096862,0.864787035,0.85929294,0.849443,0.83674221,0.823491755,0.806379645,0.76897123,0.648349505,0.340190295,0.069406425,0.004351585,8.34E-05,0,0,0,0,0,0,0,0,0,0,0
0.5,0.981852405,0.97497497,0.96136998,0.942303055,0.92322167,0.907476385,0.89508266,0.88503111,0.87844123,0.871037605,0.864960085,0.85940393,0.84956547,0.83691802,0.823693745,0.80662267,0.769997545,0.65142953,0.345649335,0.071985205,0.004566035,8.34E-05,0,0,0,0,0,0,0,0,0,0,0
0.5125,0.981842725,0.974980755,0.96140252,0.942392515,0.92324383,0.9075936,0.89528932,0.88509354,0.87852558,0.87124713,0.865044815,0.859600505,0.84961664,0.83710933,0.82402879,0.80695458,0.77094144,0.654453445,0.35116388,0.07430666,0.00487355,8.34E-05,0,0,0,0,0,0,0,0,0,0,0
0.525,0.98186346,0.97498346,0.96144994,0.94246912,0.923298715,0.907614235,0.895486255,0.885216525,0.87854231,0.87135229,0.865191065,0.859784115,0.849725055,0.837327395,0.824248085,0.80726305,0.77194411,0.6576393,0.356934935,0.076912475,0.00507275,0.00011686,0,0,0,0,0,0,0,0,0,0,0
0.5375,0.9818849,0.975007095,0.96147342,0.94250797,0.923354535,0.907749085,0.895540735,0.885339875,0.87864786,0.871509515,0.865339775,0.85987621,0.84987221,0.837419295,0.82454547,0.807421965,0.77299215,0.66057544,0.362602075,0.07950626,0.00527011,0.000116845,0,0,0,0,0,0,0,0,0,0,0
0.55,0.98185773,0.975014385,0.96155222,0.942534925,0.92340034,0.907840465,0.8956443,0.88550204,0.87876448,0.871699435,0.865395535,0.86003605,0.8499317,0.8376102,0.82479719,0.80774043,0.77380827,0.663643755,0.36811949,0.0817817,0.005448725,0.00018372,0,0,0,0,0,0,0,0,0,0,0
0.5625,0.98187309,0.975059305,0.96156928,0.94260594,0.92348432,0.907874525,0.89577368,0.885652345,0.878908105,0.87182948,0.86550833,0.860158405,0.85003668,0.837865905,0.824971185,0.80809669,0.77478731,0.6666051,0.3735067,0.08451446,0.005696615,0.000183855,0,0,0,0,0,0,0,0,0,0,0
0.575,0.981885615,0.9750529,0.96160154,0.94270818,0.923583595,0.907938795,0.89583058,0.885831255,0.87900658,0.87191938,0.865700935,0.860178145,0.85025684,0.838005625,0.82520521,0.808454185,0.775569065,0.66960483,0.3788669,0.08748584,0.0060583,0.000200715,0,0,0,0,0,0,0,0,0,0,0
0.5875,0.981905095,0.975051445,0.96163309,0.942752005,0.923726565,0.9079619,0.895947295,0.885968565,0.879108705,0.87208648,0.86579925,0.86037405,0.85037048,0.838128035,0.825472615,0.808767235,0.776348045,0.672515675,0.384318035,0.090334145,0.00626894,0.00023385,0,0,0,0,0,0,0,0,0,0,0
